voter_name,affiliation,x1st_place_10_points,x2nd_place_7_points,x3rd_place_5_points,x4th_place_3_points,x5th_place_1_point,year,award
Joe Freeman,The Oregonian,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)",2017,MVP
Joe Vardon,Cleveland.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
John Schuhmann,NBA.com,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2017,MVP
Jon Barry,ESPN Radio,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Jon Krawczynski,Associated Press,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Wall, John (Was.)",2017,MVP
Justin Termine,Sirius XM,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Justin Verrier,ESPN.com,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
KC Johnson,Chicago Tribune,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Antetokounmpo, Giannis (Mil.)",2017,MVP
Keith Pompey,Philadelphia Inquirer,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Kevin Arnovitz,ESPN.com,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Kevin Ding,Bleacher Report,"Harden, James (Hou.)","James, LeBron (Cle.)","Westbrook, Russell (OKC.)","Curry, Stephen (G.S.)","Leonard, Kawhi (S.A.)",2017,MVP
Kevin Harlan,Turner,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Kevin O'Connor,The Ringer,"Harden, James (Hou.)","James, LeBron (Cle.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2017,MVP
Kristen Ledlow,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Kurt Helin,NBCSports.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Lang Whitaker,NBA.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Lee Jenkins,Sports Illustrated,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Wall, John (Was.)",2017,MVP
Lisa Shen Yang,Tencent,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Curry, Stephen (G.S.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)",2017,MVP
Manny Navaro,Miami Herald,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Marc Berman,New York Post,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2017,MVP
Marc Kestecher,ESPN Radio,"Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Marc Spears,The Undefeated,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)",2017,MVP
Marc Stein,ESPN.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Marcelo Nogueira,Ole,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)",2017,MVP
Mark Jackson,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Mark Medina,LA Daily News,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Matt Moore,CBSSports.com,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Wall, John (Was.)",2017,MVP
Matt Winer,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Michael Grange,Rogers Sportsnet,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)",2017,MVP
Michael Wilbon,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Michelle Beadle,ABC/ESPN,"Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Mike Breen,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Nate Taylor,Indianapolis Star,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
NBA Fan Voting,NA,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)",2017,MVP
Nira Khurana,Excelsior,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Paul Flannery,SB Nation,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Rachel Nichols,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2017,MVP
Ramona Shelburne,ESPN.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Reggie Miller,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)",2017,MVP
Ric Bucher,Bleacher Report,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Wall, John (Was.)",2017,MVP
Richard Walker,Gaston Gazette,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)",2017,MVP
Rod Beard,Detroit News,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Ron Tillery,Memphis Commercial-Appeal,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Royce Young,ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Curry, Stephen (G.S.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)",2017,MVP
Ryan Wolstat,Toronto Sun,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)",2017,MVP
Sage Steele,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Sam Amick,USA Today,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Sean Deveney,The Sporting News,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Sekou Smith,NBA.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Sherrod Blakely,CSN New England,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)",2017,MVP
Steve Aschburner,NBA.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Steve Kyler,Basketball Insiders,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Steve Smith,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)",2017,MVP
Tim Reynolds,Associated Press,"James, LeBron (Cle.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2017,MVP
TJ Manotoc,ABC-CBN,"Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Tony Jones,Salt Lake Tribune,"Harden, James (Hou.)","James, LeBron (Cle.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2017,MVP
Vince Goodwill,CSN Chicago,"Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)",2017,MVP
Weiping Zhang,CCTV,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Yoko Miyaji,Sports Graphic Number,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Zach Lowe,ESPN.com,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Aaron Falk,Salt Lake Tribune,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Paul, Chris -- LAC",2016,MVP
Adam Himmelsbach,Boston Globe,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Durant, Kevin -- OKC",2016,MVP
Adrian Chavarria,KEYH 850 AM,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Lowry, Kyle -- TOR",2016,MVP
Al Iannazzone,Newsday,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Durant, Kevin -- OKC",2016,MVP
Alan Horton,WCCO 830-AM,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Paul, Chris -- LAC",2016,MVP
Andre Aldridge,Fox Sports South,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Paul, Chris -- LAC","Durant, Kevin -- OKC",2016,MVP
Andy Vasquez,Bergen Record,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Lowry, Kyle -- TOR",2016,MVP
Anthony Slater,The Oklahoman,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC",2016,MVP
Antonio Harvey,Fox Sports Radio/620AM,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Green, Draymond -- GS","James, LeBron -- CLE",2016,MVP
Bill Land,Fox Sports Southwest,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2016,MVP
Bill Oram,Orange County Register,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Durant, Kevin -- OKC",2016,MVP
Bill Reiter,CBSSports.com,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Durant, Kevin -- OKC",2016,MVP
Bill Schoening,WOAI Radio,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Paul, Chris -- LAC",2016,MVP
Bill Simmons,Bill Simmons Podcast/HBO,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Green, Draymond -- GS","Paul, Chris -- LAC",2016,MVP
Bill Worrell,Root Sports Southwest,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Harden, James -- HOU","James, LeBron -- CLE","Paul, Chris -- LAC",2016,MVP
Bob Fitzgerald,Comcast SportsNet Bay Area,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Durant, Kevin -- OKC","James, LeBron -- CLE","Paul, Chris -- LAC",2016,MVP
Bob Rathbun,Fox Sports South,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Durant, Kevin -- OKC",2016,MVP
Brendan Brown,MSG Network,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Leonard, Kawhi -- SA","Paul, Chris -- LAC",2016,MVP
Brian Davis,Fox Sports Oklahoma,"Curry, Stephen -- GS","Durant, Kevin -- OKC","Westbrook, Russell -- OKC","James, LeBron -- CLE","Paul, Chris -- LAC",2016,MVP
Brian Lewis,New York Post,"Curry, Stephen -- GS","Paul, Chris -- LAC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC",2016,MVP
Brian Mahoney,Associated Press,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Green, Draymond -- GS",2016,MVP
Brian Sieman,The Beast 980,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Paul, Chris -- LAC","James, LeBron -- CLE","Green, Draymond -- GS",2016,MVP
Brian Windhorst,ESPN.com,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Durant, Kevin -- OKC",2016,MVP
Candace Buckner,Indianapolis Star,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Durant, Kevin -- OKC","James, LeBron -- CLE","Green, Draymond -- GS",2016,MVP
Cedric Maxwell,98.5 The Sports Hub,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Lillard, Damian -- POR","Durant, Kevin -- OKC",2016,MVP
Charles Gardner,Milwaukee Journal Sentinel,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Westbrook, Russell -- OKC",2016,MVP
Chris Broussard,ESPN,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2016,MVP
Chris Dempsey,Denver Post,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Leonard, Kawhi -- SA","Durant, Kevin -- OKC",2016,MVP
Chris Denari,Fox Sports Indiana,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Durant, Kevin -- OKC",2016,MVP
Chris Marlowe,Altitude Sports & Entertainment,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Paul, Chris -- LAC",2016,MVP
Chris Sheridan,Sheridanhoops.com,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Lillard, Damian -- POR","James, LeBron -- CLE",2016,MVP
Chuck Cooperstein,ESPN 103.3,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Paul, Chris -- LAC",2016,MVP
Dante Marchitelli,Fox Sports Florida,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Paul, Chris -- LAC","Westbrook, Russell -- OKC",2016,MVP
Dave McMenamin,ESPN.com,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Durant, Kevin -- OKC",2016,MVP
David Aldridge,TNT,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Durant, Kevin -- OKC",2016,MVP
David Mayo,Mlive Media Group,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Lillard, Damian -- POR",2016,MVP
David Steele,Fox Sports Florida,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Durant, Kevin -- OKC",2016,MVP
David Wesley,Fox Sports New Orleans,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Lowry, Kyle -- TOR",2016,MVP
Doris Burke,ESPN,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Durant, Kevin -- OKC","Paul, Chris -- LAC",2016,MVP
Doug Smith,The Toronto Star,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Paul, Chris -- LAC","James, LeBron -- CLE",2016,MVP
Eddie Johnson,Fox Sports Arizona,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Green, Draymond -- GS",2016,MVP
Eddie Sefko,Dallas Morning News,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Paul, Chris -- LAC",2016,MVP
Eric Hasseltine,92.9 FM ESPN/680 AM ESPN,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Lowry, Kyle -- TOR","Paul, Chris -- LAC",2016,MVP
Eric Smith,TSN 1050/Sportsnet 590 The Fan,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2016,MVP
Ernie Johnson,TNT,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Durant, Kevin -- OKC",2016,MVP
Ethan Skolnick,Miami Herald,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Durant, Kevin -- OKC",2016,MVP
Fran Blinebury,NBA.com,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Paul, Chris -- LAC",2016,MVP
Frank Isola,Sirius Radio/New York Daily News,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS",2016,MVP
Fred McLeod,Fox Sports Ohio,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC",2016,MVP
Gary Gerould,Comcast SportsNet-CA,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC",2016,MVP
Gary Washburn,Boston Globe,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Lillard, Damian -- POR","Leonard, Kawhi -- SA",2016,MVP
George Blaha,WMGC / Fox Sports Detroit,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC",2016,MVP
Glenn Consor,106.7 The Fan,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","James, LeBron -- CLE",2016,MVP
Grant Napear,Comcast SportsNet-CA,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Green, Draymond -- GS",2016,MVP
Howard Beck,Bleacher Report,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Westbrook, Russell -- OKC",2016,MVP
Hubie Brown,ESPN,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Leonard, Kawhi -- SA","Paul, Chris -- LAC",2016,MVP
Israel Guttierez,ESPN.com,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Durant, Kevin -- OKC",2016,MVP
JA Adande,ESPN.com,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2016,MVP
Jason Jones,Sacramento Bee,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Paul, Chris -- LAC","James, LeBron -- CLE",2016,MVP
Jason Lieser,Palm Beach Post,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Durant, Kevin -- OKC",2016,MVP
Jason Lloyd,Akron Beacon Journal,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Westbrook, Russell -- OKC",2016,MVP
Jeff McDonald,San Antonio Express-News,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Paul, Chris -- LAC",2016,MVP
Jeff Zillgitt,USA Today,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Durant, Kevin -- OKC","Westbrook, Russell -- OKC",2016,MVP
Jerry Zgoda,Minneapolis Star Tribune,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Lillard, Damian -- POR","Westbrook, Russell -- OKC",2016,MVP
Jim Paschke,Fox Sports Wisconsin,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC",2016,MVP
Jim Petersen,Fox Sports North,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Paul, Chris -- LAC","Durant, Kevin -- OKC",2016,MVP
Jody Genessy,Deseret News,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Paul, Chris -- LAC","Leonard, Kawhi -- SA",2016,MVP
Joe Cowley,Chicago Sun-Times,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Green, Draymond -- GS",2016,MVP
Joe Freeman,The Oregonian,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Lillard, Damian -- POR",2016,MVP
Joel Meyers,Fox Sports New Orleans,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC",2016,MVP
John Denton,OrlandoMagic.com,"Curry, Stephen -- GS","Green, Draymond -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC",2016,MVP
John Krawczynski,Associated Press,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Westbrook, Russell -- OKC",2016,MVP
Jon Barry,ESPN Radio,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","James, LeBron -- CLE","Leonard, Kawhi -- SA",2016,MVP
Jonathan Feigen,Houston Chronicle,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2016,MVP
K.C. Johnson,Chicago Tribune,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Paul, Chris -- LAC",2016,MVP
Keith Pompey,Philadelphia Inquirer,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Durant, Kevin -- OKC","Harden, James -- HOU",2016,MVP
Ken Berger,CBSSports.com,"Curry, Stephen -- GS","Paul, Chris -- LAC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC",2016,MVP
Kevin Arnovitz,ESPN.com,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Paul, Chris -- LAC",2016,MVP
Kevin Calabro,ESPN Radio,"Curry, Stephen -- GS","Paul, Chris -- LAC","James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS",2016,MVP
Lang Whitaker,NBA.com,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Durant, Kevin -- OKC",2016,MVP
